Time(ps);Dl = 0;Dl = 1;Dl = 2;Dl = 3;Dl = 4;Dl = 5;Dl = 6;Dl = 7;Dl = 8;Dl = 9;Dl = 10;Dl = 11;Dl = 12;Dl = 13;Dl = 14;Dl = 15;Dl = 16;Dl = 17;Dl = 18;Dl = 19;Dl = 20;Dl = 21;Dl = 22;Dl = 23;Dl = 24;Dl = 25;Dl = 26;Dl = 27;Dl = 28
1.171872;2.1125E-10;1.74859E-10;1.11145E-10;6.47013E-11;4.09483E-11;2.77236E-11;1.98625E-11;1.48759E-11;1.15356E-11;9.19651E-12;7.49823E-12;6.16332E-12;5.20341E-12;4.45064E-12;3.84964E-12;3.33658E-12;2.9618E-12;2.61083E-12;2.33357E-12;2.09817E-12;1.89663E-12;1.72277E-12;1.57174E-12;1.43248E-12;1.31727E-12;1.21541E-12;1.12492E-12;1.04418E-12;9.7182E-13
1.269528;2.2192E-10;1.83572E-10;1.16531E-10;6.77625E-11;4.28614E-11;2.90099E-11;2.07805E-11;1.55617E-11;1.20665E-11;9.61931E-12;7.84267E-12;6.44627E-12;5.44218E-12;4.6548E-12;4.02618E-12;3.48955E-12;3.09756E-12;2.73049E-12;2.4405E-12;2.19431E-12;1.98353E-12;1.80169E-12;1.64374E-12;1.49809E-12;1.3776E-12;1.27108E-12;1.17644E-12;1.092E-12;1.01632E-12
1.367184;2.33102E-10;1.92698E-10;1.22163E-10;7.09598E-11;4.48583E-11;3.03522E-11;2.17382E-11;1.62772E-11;1.26204E-11;1.00603E-11;8.20195E-12;6.74138E-12;5.69122E-12;4.86773E-12;4.2103E-12;3.64909E-12;3.23915E-12;2.85529E-12;2.55203E-12;2.29457E-12;2.07415E-12;1.884E-12;1.71883E-12;1.56653E-12;1.44053E-12;1.32913E-12;1.23018E-12;1.14187E-12;1.06274E-12
1.46484;2.44821E-10;2.02255E-10;1.28052E-10;7.42988E-11;4.69425E-11;3.17528E-11;2.27373E-11;1.70234E-11;1.3198E-11;1.05203E-11;8.57665E-12;7.04916E-12;5.95093E-12;5.08978E-12;4.40231E-12;3.81547E-12;3.38682E-12;2.98543E-12;2.66833E-12;2.39913E-12;2.16866E-12;1.96984E-12;1.79713E-12;1.63789E-12;1.50614E-12;1.38968E-12;1.28621E-12;1.19388E-12;1.11114E-12
1.562496;2.57099E-10;2.1226E-10;1.34209E-10;7.77855E-11;4.91175E-11;3.32139E-11;2.37794E-11;1.78018E-11;1.38005E-11;1.1E-11;8.96738E-12;7.3701E-12;6.22175E-12;5.32133E-12;4.60253E-12;3.98895E-12;3.54078E-12;3.12112E-12;2.7896E-12;2.50815E-12;2.2672E-12;2.05933E-12;1.87878E-12;1.71229E-12;1.57456E-12;1.4528E-12;1.34463E-12;1.2481E-12;1.16161E-12
1.660152;2.69963E-10;2.22735E-10;1.40644E-10;8.14258E-11;5.13871E-11;3.47381E-11;2.48663E-11;1.86134E-11;1.44287E-11;1.15001E-11;9.37478E-12;7.70472E-12;6.5041E-12;5.56273E-12;4.81127E-12;4.16982E-12;3.7013E-12;3.26259E-12;2.91603E-12;2.62181E-12;2.36993E-12;2.15264E-12;1.96389E-12;1.78986E-12;1.64589E-12;1.51861E-12;1.40553E-12;1.30463E-12;1.21422E-12
1.757808;2.83439E-10;2.337E-10;1.47371E-10;8.52261E-11;5.37549E-11;3.63277E-11;2.59997E-11;1.94597E-11;1.50836E-11;1.20216E-11;9.79951E-12;8.05357E-12;6.79845E-12;5.81439E-12;5.02887E-12;4.35836E-12;3.86863E-12;3.41006E-12;3.04782E-12;2.74029E-12;2.47701E-12;2.2499E-12;2.05262E-12;1.87072E-12;1.72024E-12;1.58721E-12;1.46902E-12;1.36356E-12;1.26906E-12
1.855464;2.97553E-10;2.45176E-10;1.544E-10;8.91929E-11;5.6225E-11;3.79855E-11;2.71815E-11;2.0342E-11;1.57664E-11;1.25651E-11;1.02422E-11;8.41719E-12;7.10527E-12;6.0767E-12;5.25567E-12;4.55489E-12;4.04304E-12;3.56377E-12;3.18518E-12;2.86378E-12;2.58863E-12;2.35127E-12;2.1451E-12;1.955E-12;1.79773E-12;1.6587E-12;1.53519E-12;1.42498E-12;1.32622E-12
1.95312;3.12336E-10;2.57186E-10;1.61746E-10;9.33328E-11;5.88014E-11;3.97141E-11;2.84135E-11;2.12618E-11;1.64781E-11;1.31317E-11;1.07037E-11;8.79618E-12;7.42504E-12;6.35008E-12;5.49205E-12;4.7597E-12;4.2248E-12;3.72396E-12;3.32833E-12;2.99248E-12;2.70495E-12;2.45692E-12;2.24147E-12;2.04283E-12;1.87849E-12;1.73321E-12;1.60415E-12;1.48899E-12;1.38579E-12
2.050776;3.27816E-10;2.69754E-10;1.69421E-10;9.7653E-11;6.14883E-11;4.15164E-11;2.96978E-11;2.22205E-11;1.72199E-11;1.37221E-11;1.11846E-11;9.19111E-12;7.75826E-12;6.63497E-12;5.73837E-12;4.97312E-12;4.4142E-12;3.89089E-12;3.4775E-12;3.12658E-12;2.82616E-12;2.567E-12;2.3419E-12;2.13434E-12;1.96264E-12;1.81085E-12;1.67601E-12;1.55568E-12;1.44786E-12
2.148432;3.44025E-10;2.82903E-10;1.77438E-10;1.02161E-10;6.42902E-11;4.33951E-11;3.10364E-11;2.32195E-11;1.79929E-11;1.43374E-11;1.16857E-11;9.60263E-12;8.10547E-12;6.93179E-12;5.99502E-12;5.19548E-12;4.61154E-12;4.0648E-12;3.63292E-12;3.2663E-12;2.95244E-12;2.68169E-12;2.44653E-12;2.22969E-12;2.05032E-12;1.89174E-12;1.75087E-12;1.62517E-12;1.51253E-12
2.246088;3.60995E-10;2.96659E-10;1.85813E-10;1.06863E-10;6.72116E-11;4.53533E-11;3.24313E-11;2.42606E-11;1.87983E-11;1.49785E-11;1.22077E-11;1.00314E-11;8.46719E-12;7.24103E-12;6.26239E-12;5.42714E-12;4.81713E-12;4.24599E-12;3.79483E-12;3.41185E-12;3.08399E-12;2.80118E-12;2.55552E-12;2.32902E-12;2.14165E-12;1.97601E-12;1.82886E-12;1.69755E-12;1.57989E-12
2.343744;3.78759E-10;3.11047E-10;1.94559E-10;1.11769E-10;7.02572E-11;4.73942E-11;3.38849E-11;2.53452E-11;1.96374E-11;1.56463E-11;1.27516E-11;1.0478E-11;8.844E-12;7.56316E-12;6.5409E-12;5.66845E-12;5.03127E-12;4.43471E-12;3.96348E-12;3.56347E-12;3.22102E-12;2.92563E-12;2.66906E-12;2.43249E-12;2.23679E-12;2.06378E-12;1.91009E-12;1.77295E-12;1.65006E-12
2.4414;3.97353E-10;3.26096E-10;2.03693E-10;1.16885E-10;7.34318E-11;4.95209E-11;3.53993E-11;2.64752E-11;2.05114E-11;1.63419E-11;1.33181E-11;1.09432E-11;9.23646E-12;7.89866E-12;6.83097E-12;5.91977E-12;5.25431E-12;4.63127E-12;4.13913E-12;3.72137E-12;3.36374E-12;3.05525E-12;2.7873E-12;2.54024E-12;2.33587E-12;2.15519E-12;1.99469E-12;1.85147E-12;1.72314E-12
2.539056;4.16813E-10;3.41834E-10;2.1323E-10;1.22221E-10;7.67405E-11;5.17367E-11;3.6977E-11;2.76522E-11;2.14218E-11;1.70665E-11;1.3908E-11;1.14276E-11;9.64518E-12;8.24806E-12;7.13305E-12;6.18149E-12;5.48657E-12;4.83595E-12;4.32204E-12;3.8858E-12;3.51236E-12;3.19023E-12;2.91043E-12;2.65245E-12;2.43904E-12;2.25038E-12;2.08279E-12;1.93324E-12;1.79924E-12
2.636712;4.37177E-10;3.58291E-10;2.23186E-10;1.27785E-10;8.01885E-11;5.40451E-11;3.86202E-11;2.88781E-11;2.23699E-11;1.7821E-11;1.45224E-11;1.19321E-11;1.00708E-11;8.61188E-12;7.4476E-12;6.45401E-12;5.72841E-12;5.04908E-12;4.5125E-12;4.05702E-12;3.6671E-12;3.33077E-12;3.03863E-12;2.76929E-12;2.54647E-12;2.3495E-12;2.17452E-12;2.01838E-12;1.87848E-12
2.734368;4.58484E-10;3.75496E-10;2.3358E-10;1.33586E-10;8.37813E-11;5.64497E-11;4.03317E-11;3.01546E-11;2.33572E-11;1.86066E-11;1.51621E-11;1.24573E-11;1.05139E-11;8.99066E-12;7.77509E-12;6.73774E-12;5.9802E-12;5.27097E-12;4.71078E-12;4.23527E-12;3.82821E-12;3.47708E-12;3.17211E-12;2.89092E-12;2.65831E-12;2.45268E-12;2.27002E-12;2.10702E-12;1.96097E-12
2.832024;4.80777E-10;3.93482E-10;2.44428E-10;1.39633E-10;8.75244E-11;5.89541E-11;4.21138E-11;3.14838E-11;2.43851E-11;1.94245E-11;1.5828E-11;1.30042E-11;1.09752E-11;9.38499E-12;8.116E-12;7.0331E-12;6.2423E-12;5.50195E-12;4.91719E-12;4.42082E-12;3.99591E-12;3.62939E-12;3.31105E-12;3.01754E-12;2.77474E-12;2.5601E-12;2.36943E-12;2.19929E-12;2.04684E-12
2.92968;5.04097E-10;4.12283E-10;2.5575E-10;1.45936E-10;9.14235E-11;6.15622E-11;4.39695E-11;3.28676E-11;2.54551E-11;2.02759E-11;1.65213E-11;1.35733E-11;1.14553E-11;9.79543E-12;8.47085E-12;7.34053E-12;6.51511E-12;5.74237E-12;5.13203E-12;4.61395E-12;4.17046E-12;3.78792E-12;3.45566E-12;3.14932E-12;2.89591E-12;2.67189E-12;2.47289E-12;2.29532E-12;2.13621E-12
3.027336;5.28489E-10;4.31932E-10;2.67564E-10;1.52505E-10;9.54848E-11;6.42779E-11;4.59013E-11;3.43081E-11;2.65689E-11;2.11621E-11;1.72428E-11;1.41657E-11;1.19551E-11;1.02226E-11;8.84015E-12;7.66047E-12;6.79903E-12;5.99258E-12;5.35561E-12;4.81494E-12;4.35211E-12;3.9529E-12;3.60616E-12;3.28647E-12;3.02201E-12;2.78823E-12;2.58056E-12;2.39526E-12;2.22922E-12
